"","GLDS-532_rna-seq_GSM6594643","GLDS-532_rna-seq_GSM6594644","GLDS-532_rna-seq_GSM6594645","GLDS-532_rna-seq_GSM6594646","GLDS-532_rna-seq_GSM6594647","GLDS-532_rna-seq_GSM6594648","GLDS-532_rna-seq_GSM6594649","GLDS-532_rna-seq_GSM6594650","GLDS-532_rna-seq_GSM6594651","GLDS-532_rna-seq_GSM6594652","GLDS-532_rna-seq_GSM6594653","GLDS-532_rna-seq_GSM6594654","GLDS-532_rna-seq_GSM6594655","GLDS-532_rna-seq_GSM6594656","GLDS-532_rna-seq_GSM6594657","GLDS-532_rna-seq_GSM6594658","GLDS-532_rna-seq_GSM6594659"
"ENSMUSG00000000001",3.81129746298376,0,0,1.3542650673328,0,1.80132482008322,1.04409938595517,0.761391217106658,1.97419628835069,0,0.906264586794654,0,0,1.34525016401487,0,0,0.650053109426703
"ENSMUSG00000000031",2.17319617543874,0,0,2.30650493137461,0,3.06286046591369,10.7131469733828,0,1.71308841974137,0,0,1.56861432006914,0,0,0,0.610174754491644,0
"ENSMUSG00000000049",0,0,0,0,0,3.21654784842583,0,0,0,0,0.541503277455368,3.67975675426659,0,0,0,0,0
"ENSMUSG00000000058",0,0,0.485085257136321,4.11644226574473,0,0,1.26975498072656,0,0,3.1914930879708,0.275558875726859,1.11773138037412,0,0,0,0,0
"ENSMUSG00000000078",0,0,0,1.58575827175035,0,0,0.611122703810396,5.00033985146926,0,1.47771919813059,0.79558122554931,1.07618760428115,0,0,0,0.554820119258772,0
"ENSMUSG00000000088",1.03395900691503,3.73870324582797,0,1.65160082409321,0,10.7941082280461,5.28170034283272,9.29045117055286,2.42730707070663,7.61667045042367,1.64434368750617,4.42645543879959,5.94749202973612,10.6693170280973,3.07147338254632,4.54841856303976,4.79214708527806
"ENSMUSG00000000184",0.522114135291603,0,0,6.58903745049308,3.18103006132044,0,0.858228355314049,0,0,1.03762943808991,0.186188857647052,0,0,0,0.347761985365372,0,0
"ENSMUSG00000000275",2.14906581773115,0,0,2.29207017705673,8.68997093394066,1.52465598268839,0,0.643347567416295,0,0,0,0,2.36350185533983,0,2.14718993928315,0,0
"ENSMUSG00000000290",5.08050006360236,1.0325824035666,1.06329465064193,16.5327900519683,0,1.48343681278907,13.4054577172835,2.53736794257571,0.65802185641153,2.08029459088799,1.56987912190487,0,0.932788965797353,4.70560740577162,1.12799547401203,1.43483503808669,1.47840496860796
"ENSMUSG00000000320",9.83793322102567,14.950946292159,13.9015370677609,10.4859577238862,0,0,12.548351970224,10.3202293217592,10.67076224986,14.3723403931843,6.57951658625911,0.889707012737321,21.8704581737136,21.6199346806629,11.4699911478911,3.6685832064215,17.624633653961
"ENSMUSG00000000346",3.58665858860916,6.26743959877138,0.750369533552197,6.36793400670588,4.84637256704986,5.08074734269678,5.89510170265559,0.717434672521768,1.86194778896373,3.56350277789896,0.426517094248659,2.59411334921749,10.9408850403046,5.22055459688463,2.38997343140829,0.891073490572693,2.45216178096467
"ENSMUSG00000000420",4.63202539738381,0,3.61759087827282,1.43787513175371,0,0,2.76797959377099,1.3114724054239,0,16.4238920793503,0.496493646282885,5.76974974711041,9.87961399473808,1.5636409996037,0.463675544440764,1.08874475359321,1.37751690735534
"ENSMUSG00000000740",36.2191163628556,57.2864060108991,26.9897170911186,30.1380832301472,13.734195922943,22.441621099084,11.1618378172729,53.4299992629728,50.2653120322574,31.9927700074839,51.2840696063975,62.2100896646663,15.2436716911229,42.0148747247375,37.0043151276532,101.211869386641,42.9247165626387
"ENSMUSG00000000787",0,0,1.10162763636549,0,0,0,1.44086209820117,4.77109118716694,3.82077341839915,0.580679430081631,0.625231794370512,0.845825957380908,0,0.927523649421969,0,5.5966678144374,0
"ENSMUSG00000000804",0,6.1091452252138,1.12627569122207,0,0,0,3.44842683525342,0.536241340127749,6.28673570272869,0,3.08633904799813,0,1.4772798440578,2.81710251855766,0.596717493545064,0.334384679836074,2.75434697144593
"ENSMUSG00000000876",1.75665380400575,0,0,0,0,0,2.88735617389476,0,0,0,0.626599021506753,4.44797498827463,0,0,0,1.30996147945062,0
"ENSMUSG00000001017",0,0.638601726191094,0,1.3420621726843,0,0,0,0.628119515994129,0,1.93152004761795,0.741974500080097,0.757472388393001,4.70859054717821,0.426753915560084,0,0.7806755696604,0.646324334444727
"ENSMUSG00000001098",2.1217462372718,1.3038033320646,1.2894331650693,2.27350878762628,0,0,0.871829432764104,1.64077622669069,0,0,0,0,0,0.724743994225877,0,0.790591345061186,0
"ENSMUSG00000001123",0,0.666090661740059,0,2.32561780993581,0,0,0,0,0,2.17058285637674,0.389831307227016,2.26522013440605,3.62557031847439,0,0,0.813472925017374,0
"ENSMUSG00000001156",0,4.51538131531063,0,0,0,17.9098683256407,0.487493107425611,1.06569194479554,0.460295638324254,0,0.211537775717724,0.429256923919992,0,0,4.23196499750953,0,0
"ENSMUSG00000001175",1.74934383505567,0,1.09904267891965,1.24347101627769,0,6.44884105903802,3.83389865965229,13.3341354293156,0.905453196917984,32.2065185032284,1.26710238132517,3.22602949394497,26.1976865558092,2.65638803029781,0.776883166184575,2.57318163823204,0.298151533113256
"ENSMUSG00000001280",0.983850665858104,0,0,0,0,0,0,0.588823077981383,0,1.89343325390537,0,0.712134205753335,0,0,0,0,0.50226445344597
"ENSMUSG00000001289",6.17604704685093,0,0,2.05146872427709,0,0,0,2.07493719131258,2.11817377972831,2.73855841715642,1.23249203754187,0,0,2.59049074372157,0.810641496410922,0,0
"ENSMUSG00000001366",0.843604116943638,0.514415087657541,0,3.77818815428526,2.92457450445024,0,0,0,0,0,0,0,0,1.78226775372997,0.562193593440075,0,0.865976487831938
"ENSMUSG00000001403",3.32661374614918,0,0,1.76755792737634,3.35851028040897,0,4.10011532576484,0,0,1.65213534602726,0.593857121926153,0,1.84900421383849,0,0,0,1.71904412714254
"ENSMUSG00000001435",11.6528140268029,0,0,0,15.6836265147249,2.18307758132631,0,0,0,0.764531324583717,1.06785712696337,0.556818055990391,6.51599054349411,0,0,0,0
"ENSMUSG00000001440",0.574088908844677,0,0,0,11.3605957011234,0,0.943659298951881,0.687387191769901,0,0,0,0.831002576591399,0,0,1.14715995713649,4.18571733972153,0
"ENSMUSG00000001472",1.78713191245845,0.68836534875904,1.0002621331929,0.84887845409507,0,25.6386104791097,0,5.79161907297465,0,9.23020968116671,0,0,0,0,0,0.593907752697806,0
"ENSMUSG00000001506",37.2783615724899,5.98497992853827,0.836375803599963,0,26.7794473105516,19.823481757441,1.0937222010246,0.796690531613064,0.516030141970022,11.9011290101897,2.13553972954891,2.8894574996531,2.92671072949797,20.1343784289407,0.886387853479797,0,0.679711186390941
"ENSMUSG00000001525",3.50291874103822,0,1.09973595018061,0,3.55200323444082,7.56943119874511,0,5.90258740384173,0,4.35055667204391,0.937143012276699,0,0,0.463911331557506,0.583469196840285,3.71257307141099,0.89701543520871
"ENSMUSG00000001542",0,2.15482776095686,0.350317533586107,0,0,0,0,1.00181871887439,0,1.10800438892043,0,0,1.22706378638648,0,4.19014226091898,0,0.284993063325458
"ENSMUSG00000001552",0,0,0.544643387996681,0,0,0.910892754194406,0,0,6.3907503430076,0,1.54744704398488,0.512181737063611,1.91383280480167,0,0,0,0.328751964745405
"ENSMUSG00000001576",4.03433544311299,0,0,2.86238457335226,0,0,1.18846123681118,1.10631389463884,0,0.915870025264514,0,0,3.0519717869475,0.977336867482857,0,0,0.472658726082027
"ENSMUSG00000001627",0,0.642417742001578,0.660050953513217,0,0,0,3.00060318688403,1.07937775538198,2.01235199651634,5.44039316827051,0,0.761408884388831,2.20111266184446,2.77221712177286,0,0,1.90057764794475
"ENSMUSG00000001687",0,0.850895109674963,0,0,0,0,0,0.656576751215357,0.851637910374631,0,0.39052871467868,0,1.20715438458583,0.580030848601339,3.23656897970663,0,2.24328064720763
"ENSMUSG00000001794",0,0,3.66644894981569,3.27698818008083,6.26121665801055,1.47047607815369,0.794754980830419,4.14821959481056,0,3.0814255616151,2.45665347027393,0,1.07195979648109,2.19534700686843,2.86029394852665,0,7.1089128592452
"ENSMUSG00000001833",0,0.804234133945543,0.452286282351326,2.81047509560271,0,0,0.591577452957896,1.96563695182708,1.025904882565,0,0,0.520902604566009,4.84500786837849,0.698706886019842,0,0,1.3511543835858
"ENSMUSG00000001847",4.74970084475453,25.7984156651089,16.7843861051164,23.4635996665611,0,0,10.7980631480109,15.6284533512376,11.058976221352,14.9124146011799,18.2911617020105,9.4294593941893,16.086219043637,32.9533848003507,8.07702566353518,6.3787768495406,21.2551027080335
"ENSMUSG00000001870",0,3.14246489917062,1.29502149588175,2.21796972087849,0,2.29782476783388,1.32004075665885,2.13132537141634,7.57020891720843,0,0.927976966051767,20.452673512044,10.0225526464155,0.811813602584988,0.534894690323969,1.37343624389727,6.79797089388321
"ENSMUSG00000001911",1.79485787459851,10.1316256792119,1.12522492627098,2.18021760961086,0,2.53891095283848,0,0,0.694803318476328,1.70503607581738,0.159716192786175,0,0,0.935307995806067,0,0.334255627316465,0
"ENSMUSG00000001930",3.19178765247868,7.96705781605844,3.93425402640539,28.9637295560737,0,4.61022015436216,8.13424772240809,1.94987684628382,13.9285955036266,2.60094172935064,6.88571213515762,3.65896824944511,4.01173898826287,3.5841238805572,3.23183499007352,1.29544930114602,4.71957148580404
"ENSMUSG00000001946",1.5555740008724,0,0.870824708872625,1.47807694038572,0,0,1.7108644296055,1.66663737781032,0,0,0,0,0,0.368084362840267,1.84984628717015,0,0
"ENSMUSG00000002015",0,1.54769558279205,3.97676101578494,6.75073256037991,0,0,5.21520894404668,0,0.993325528589294,5.04370651014839,3.62443924177614,0.917304989221689,7.03557935414837,4.72387426304222,4.23120804041846,0.944434632753052,1.96192134142687
"ENSMUSG00000002028",0,1.27136670962668,0,0,0,0.727074267049941,0,1.17426952478309,6.47305773144554,2.07124462975754,0.743428379395508,0,0,1.10309514366666,0.341055312664456,1.55527161715828,0.522411173616657
"ENSMUSG00000002052",0,0,0,1.10461084761783,0,0,0,1.0493146809366,0,3.08712891739197,0,0,4.55427967956315,0,0,0,1.30363644480322
"ENSMUSG00000002100",1.27421945360641,0.777168017011559,0,0,0,0,0,0.763274040361299,0,0,0.454444053494039,0,0,6.03897145347137,0,3.8029072777578,0
"ENSMUSG00000002107",11.3011359344405,1.93676292639039,0,0,0,0,7.20290772715285,1.4017573453731,3.76140744872683,0,3.96973380310864,0,13.2438970908556,2.36571784732887,0.542726686994401,0.426570564023871,1.16794342803754
"ENSMUSG00000002147",0,0,0,0,0,3.49388914286024,2.03824743854083,0.776918492303423,1.95918189508393,0.429503099170607,0,0,0,0,0.863855901226748,0,2.32336605155338
"ENSMUSG00000002222",5.72499450621703,0.352974559400566,0.727429373220247,0,2.36415252189106,6.05633529624615,3.06059202557831,2.27571929410281,0,1.58906971284715,0,1.08395216559988,1.2726039635342,0,0,4.24477694066563,0.814108901779823
"ENSMUSG00000002396",2.642621253579,0,1.63968178927447,5.57176339216785,0,11.0701557218894,2.17016753743883,1.71422022583831,0,0,3.78388797648137,0,3.00651613819427,1.42901137941331,0,1.94633022849705,1.40060844052234
"ENSMUSG00000002603",0,1.80121345292197,0,0,1.49673988543592,0,1.82052885660507,2.91695534729782,1.14987649669346,5.13559554439974,0.526861695598104,3.41195049729353,5.45934557501928,1.89033605359553,0,0.550385143832955,3.68986483633197
"ENSMUSG00000002763",0,0,1.15880771614257,0,0,0,1.51618400968307,0,0,9.17796805100708,0.329001202458565,0,1.01588105945976,0,0,0.727968929700033,0.499432273560245
"ENSMUSG00000002778",0,0,0.611668833526694,0,0,8.28059352761992,0,0,0,0.813728135298818,1.15790304483362,0,0,1.05346125948585,0.545912157183484,1.46178576673844,0
"ENSMUSG00000002881",2.29823735702959,0,0,1.80426282733219,0,0,0.695432029290961,1.73072967543368,0.657177500987315,0.840785689360377,9.34038840686821,1.22456379048793,0,2.89483440119832,0,1.2625111137265,1.62491523542364
"ENSMUSG00000002885",0,4.26363038794421,1.8553032548784,2.73775997377863,0,0,6.36633817372783,0,4.78210656284076,0.611563070092339,0,0.4452959009558,13.4896990484023,1.62992316156467,0.82014658274016,0,0.315113858805692
"ENSMUSG00000002900",0,0,13.3668894877551,1.40604694780589,0,0,0,0,0,10.6115080260099,0.705203011624676,0,0,1.3945808314184,0,0.983919556103884,0
