"","condition"
"GLDS-532_rna-seq_GSM6594643","group1"
"GLDS-532_rna-seq_GSM6594644","group1"
"GLDS-532_rna-seq_GSM6594645","group1"
"GLDS-532_rna-seq_GSM6594646","group1"
"GLDS-532_rna-seq_GSM6594647","group1"
"GLDS-532_rna-seq_GSM6594648","group1"
"GLDS-532_rna-seq_GSM6594649","group1"
"GLDS-532_rna-seq_GSM6594650","group1"
"GLDS-532_rna-seq_GSM6594651","group1"
"GLDS-532_rna-seq_GSM6594652","group1"
"GLDS-532_rna-seq_GSM6594653","group1"
"GLDS-532_rna-seq_GSM6594654","group1"
"GLDS-532_rna-seq_GSM6594655","group1"
"GLDS-532_rna-seq_GSM6594656","group1"
"GLDS-532_rna-seq_GSM6594657","group1"
"GLDS-532_rna-seq_GSM6594658","group1"
"GLDS-532_rna-seq_GSM6594659","group1"
